ID	Gene Name	Species	GOTERM_BP_DIRECT	GOTERM_CC_DIRECT	GOTERM_MF_DIRECT
AKAP8	A-kinase anchoring protein 8(AKAP8)	Homo sapiens	GO:0000278~mitotic cell cycle,GO:0007076~mitotic chromosome condensation,GO:0007165~signal transduction,GO:0015031~protein transport,GO:0031065~positive regulation of histone deacetylation,GO:0032720~negative regulation of tumor necrosis factor production,GO:0033127~regulation of histone phosphorylation,GO:0044839~cell cycle G2/M phase transition,GO:0045087~innate immune response,GO:0071222~cellular response to lipopolysaccharide,GO:0071380~cellular response to prostaglandin E stimulus,	GO:0000793~condensed chromosome,GO:0001939~female pronucleus,GO:0005634~nucleus,GO:0005654~nucleoplasm,GO:0005730~nucleolus,GO:0005739~mitochondrion,GO:0005794~Golgi apparatus,GO:0016020~membrane,GO:0016363~nuclear matrix,	GO:0003677~DNA binding,GO:0003690~double-stranded DNA binding,GO:0003723~RNA binding,GO:0005515~protein binding,GO:0008270~zinc ion binding,GO:0034237~protein kinase A regulatory subunit binding,GO:0042826~histone deacetylase binding,GO:0051059~NF-kappaB binding,
ABL1	ABL proto-oncogene 1, non-receptor tyrosine kinase(ABL1)	Homo sapiens	GO:0000278~mitotic cell cycle,GO:0001843~neural tube closure,GO:0001922~B-1 B cell homeostasis,GO:0001934~positive regulation of protein phosphorylation,GO:0002322~B cell proliferation involved in immune response,GO:0002333~transitional one stage B cell differentiation,GO:0006298~mismatch repair,GO:0006355~regulation of transcription, DNA-templated,GO:0006464~cellular protein modification process,GO:0006468~protein phosphorylation,GO:0006897~endocytosis,GO:0006909~phagocytosis,GO:0006914~autophagy,GO:0006974~cellular response to DNA damage stimulus,GO:0006975~DNA damage induced protein phosphorylation,GO:0006979~response to oxidative stress,GO:0007173~epidermal growth factor receptor signaling pathway,GO:0007204~positive regulation of cytosolic calcium ion concentration,GO:0007229~integrin-mediated signaling pathway,GO:0007249~I-kappaB kinase/NF-kappaB signaling,GO:0008306~associative learning,GO:0008630~intrinsic apoptotic signaling pathway in response to DNA damage,GO:0009410~response to xenobiotic stimulus,GO:0009791~post-embryonic development,GO:0010506~regulation of autophagy,GO:0010595~positive regulation of endothelial cell migration,GO:0018108~peptidyl-tyrosine phosphorylation,GO:0021587~cerebellum morphogenesis,GO:0022408~negative regulation of cell-cell adhesion,GO:0030035~microspike assembly,GO:0030036~actin cytoskeleton organization,GO:0030041~actin filament polymerization,GO:0030100~regulation of endocytosis,GO:0030155~regulation of cell adhesion,GO:0030182~neuron differentiation,GO:0030509~BMP signaling pathway,GO:0030514~negative regulation of BMP signaling pathway,GO:0030516~regulation of axon extension,GO:0031113~regulation of microtubule polymerization,GO:0032489~regulation of Cdc42 protein signal transduction,GO:0032729~positive regulation of interferon-gamma production,GO:0032743~positive regulation of interleukin-2 production,GO:0032956~regulation of actin cytoskeleton organization,GO:0033690~positive regulation of osteoblast proliferation,GO:0034446~substrate adhesion-dependent cell spreading,GO:0034599~cellular response to oxidative stress,GO:0034976~response to endoplasmic reticulum stress,GO:0035791~platelet-derived growth factor receptor-beta signaling pathway,GO:0036211~protein modification process,GO:0038083~peptidyl-tyrosine autophosphorylation,GO:0038096~Fc-gamma receptor signaling pathway involved in phagocytosis,GO:0038189~neuropilin signaling pathway,GO:0042770~signal transduction in response to DNA damage,GO:0042981~regulation of apoptotic process,GO:0043065~positive regulation of apoptotic process,GO:0043123~positive regulation of I-kappaB kinase/NF-kappaB signaling,GO:0043124~negative regulation of I-kappaB kinase/NF-kappaB signaling,GO:0043525~positive regulation of neuron apoptotic process,GO:0043542~endothelial cell migration,GO:0045184~establishment of protein localization,GO:0045580~regulation of T cell differentiation,GO:0045907~positive regulation of vasoconstriction,GO:0045930~negative regulation of mitotic cell cycle,GO:0045931~positive regulation of mitotic cell cycle,GO:0045944~positive regulation of transcription from RNA polymerase II promoter,GO:0046632~alpha-beta T cell differentiation,GO:0046777~protein autophosphorylation,GO:0048008~platelet-derived growth factor receptor signaling pathway,GO:0048146~positive regulation of fibroblast proliferation,GO:0048536~spleen development,GO:0048538~thymus development,GO:0048668~collateral sprouting,GO:0050731~positive regulation of peptidyl-tyrosine phosphorylation,GO:0050798~activated T cell proliferation,GO:0050852~T cell receptor signaling pathway,GO:0050853~B cell receptor signaling pathway,GO:0050885~neuromuscular process controlling balance,GO:0051281~positive regulation of release of sequestered calcium ion into cytosol,GO:0051353~positive regulation of oxidoreductase activity,GO:0051444~negative regulation of ubiquitin-protein transferase activity,GO:0051496~positive regulation of stress fiber assembly,GO:0051649~establishment of localization in cell,GO:0051726~regulation of cell cycle,GO:0051882~mitochondrial depolarization,GO:0051894~positive regulation of focal adhesion assembly,GO:0060020~Bergmann glial cell differentiation,GO:0060563~neuroepithelial cell differentiation,GO:0070301~cellular response to hydrogen peroxide,GO:0070371~ERK1 and ERK2 cascade,GO:0070373~negative regulation of ERK1 and ERK2 cascade,GO:0070374~positive regulation of ERK1 and ERK2 cascade,GO:0070997~neuron death,GO:0071103~DNA conformation change,GO:0071222~cellular response to lipopolysaccharide,GO:0071560~cellular response to transforming growth factor beta stimulus,GO:0071871~response to epinephrine,GO:0071901~negative regulation of protein serine/threonine kinase activity,GO:0072359~circulatory system development,GO:0090050~positive regulation of cell migration involved in sprouting angiogenesis,GO:0090135~actin filament branching,GO:0090398~cellular senescence,GO:0098609~cell-cell adhesion,GO:1900006~positive regulation of dendrite development,GO:1900026~positive regulation of substrate adhesion-dependent cell spreading,GO:1900272~negative regulation of long-term synaptic potentiation,GO:1900275~negative regulation of phospholipase C activity,GO:1901216~positive regulation of neuron death,GO:1901300~positive regulation of hydrogen peroxide-mediated programmed cell death,GO:1902036~regulation of hematopoietic stem cell differentiation,GO:1903053~regulation of extracellular matrix organization,GO:1903055~positive regulation of extracellular matrix organization,GO:1903210~glomerular visceral epithelial cell apoptotic process,GO:1903351~cellular response to dopamine,GO:1903905~positive regulation of establishment of T cell polarity,GO:1904157~DN4 thymocyte differentiation,GO:1904518~protein localization to cytoplasmic microtubule plus-end,GO:1904528~positive regulation of microtubule binding,GO:1904531~positive regulation of actin filament binding,GO:1905244~regulation of modification of synaptic structure,GO:1905555~positive regulation blood vessel branching,GO:1990051~activation of protein kinase C activity,GO:2000096~positive regulation of Wnt signaling pathway, planar cell polarity pathway,GO:2000145~regulation of cell motility,GO:2000249~regulation of actin cytoskeleton reorganization,GO:2000251~positive regulation of actin cytoskeleton reorganization,GO:2000352~negative regulation of endothelial cell apoptotic process,GO:2000406~positive regulation of T cell migration,GO:2000773~negative regulation of cellular senescence,GO:2001020~regulation of response to DNA damage stimulus,	GO:0001726~ruffle,GO:0005634~nucleus,GO:0005654~nucleoplasm,GO:0005730~nucleolus,GO:0005737~cytoplasm,GO:0005739~mitochondrion,GO:0005783~endoplasmic reticulum,GO:0005829~cytosol,GO:0015629~actin cytoskeleton,GO:0016604~nuclear body,GO:0030425~dendrite,GO:0030426~growth cone,GO:0031252~cell leading edge,GO:0031965~nuclear membrane,GO:0032991~macromolecular complex,GO:0043025~neuronal cell body,GO:0048471~perinuclear region of cytoplasm,GO:0098794~postsynapse,	GO:0000287~magnesium ion binding,GO:0000400~four-way junction DNA binding,GO:0000405~bubble DNA binding,GO:0001784~phosphotyrosine binding,GO:0003677~DNA binding,GO:0003713~transcription coactivator activity,GO:0003785~actin monomer binding,GO:0004515~nicotinate-nucleotide adenylyltransferase activity,GO:0004672~protein kinase activity,GO:0004713~protein tyrosine kinase activity,GO:0004714~transmembrane receptor protein tyrosine kinase activity,GO:0004715~non-membrane spanning protein tyrosine kinase activity,GO:0005080~protein kinase C binding,GO:0005515~protein binding,GO:0005524~ATP binding,GO:0008022~protein C-terminus binding,GO:0016301~kinase activity,GO:0017124~SH3 domain binding,GO:0019904~protein domain specific binding,GO:0019905~syntaxin binding,GO:0030145~manganese ion binding,GO:0038191~neuropilin binding,GO:0042169~SH2 domain binding,GO:0043621~protein self-association,GO:0046875~ephrin receptor binding,GO:0051015~actin filament binding,GO:0051019~mitogen-activated protein kinase binding,GO:0070064~proline-rich region binding,GO:0070097~delta-catenin binding,GO:1990837~sequence-specific double-stranded DNA binding,
ACD	ACD shelterin complex subunit and telomerase recruitment factor(ACD)	Homo sapiens	GO:0000723~telomere maintenance,GO:0001501~skeletal system development,GO:0001655~urogenital system development,GO:0006886~intracellular protein transport,GO:0007004~telomere maintenance via telomerase,GO:0016233~telomere capping,GO:0030326~embryonic limb morphogenesis,GO:0031848~protection from non-homologous end joining at telomere,GO:0032202~telomere assembly,GO:0032206~positive regulation of telomere maintenance,GO:0032211~negative regulation of telomere maintenance via telomerase,GO:0032212~positive regulation of telomere maintenance via telomerase,GO:0035282~segmentation,GO:0051973~positive regulation of telomerase activity,GO:0060381~positive regulation of single-stranded telomeric DNA binding,GO:0070198~protein localization to chromosome, telomeric region,GO:0070200~establishment of protein localization to telomere,	GO:0000781~chromosome, telomeric region,GO:0000783~nuclear telomere cap complex,GO:0005654~nucleoplasm,GO:0005697~telomerase holoenzyme complex,GO:0016604~nuclear body,GO:0070187~shelterin complex,	GO:0005515~protein binding,GO:0042162~telomeric DNA binding,GO:0044877~macromolecular complex binding,GO:0070182~DNA polymerase binding,
ADAM10	ADAM metallopeptidase domain 10(ADAM10)	Homo sapiens	GO:0001701~in utero embryonic development,GO:0006468~protein phosphorylation,GO:0006509~membrane protein ectodomain proteolysis,GO:0007162~negative regulation of cell adhesion,GO:0007219~Notch signaling pathway,GO:0007229~integrin-mediated signaling pathway,GO:0007267~cell-cell signaling,GO:0007283~spermatogenesis,GO:0008284~positive regulation of cell proliferation,GO:0008593~regulation of Notch signaling pathway,GO:0010629~negative regulation of gene expression,GO:0010820~positive regulation of T cell chemotaxis,GO:0016485~protein processing,GO:0022617~extracellular matrix disassembly,GO:0030307~positive regulation of cell growth,GO:0030335~positive regulation of cell migration,GO:0034205~beta-amyloid formation,GO:0034332~adherens junction organization,GO:0034612~response to tumor necrosis factor,GO:0038004~epidermal growth factor receptor ligand maturation,GO:0042117~monocyte activation,GO:0042987~amyloid precursor protein catabolic process,GO:0043065~positive regulation of apoptotic process,GO:0043066~negative regulation of apoptotic process,GO:0046931~pore complex assembly,GO:0051089~constitutive protein ectodomain proteolysis,GO:0051726~regulation of cell cycle,GO:0061001~regulation of dendritic spine morphogenesis,GO:0090102~cochlea development,GO:0097327~response to antineoplastic agent,GO:1901342~regulation of vasculature development,GO:1901998~toxin transport,	GO:0000139~Golgi membrane,GO:0005634~nucleus,GO:0005737~cytoplasm,GO:0005788~endoplasmic reticulum lumen,GO:0005794~Golgi apparatus,GO:0005798~Golgi-associated vesicle,GO:0005802~trans-Golgi network,GO:0005886~plasma membrane,GO:0005912~adherens junction,GO:0005925~focal adhesion,GO:0008021~synaptic vesicle,GO:0009986~cell surface,GO:0014069~postsynaptic density,GO:0016020~membrane,GO:0016021~integral component of membrane,GO:0030136~clathrin-coated vesicle,GO:0030424~axon,GO:0030425~dendrite,GO:0035579~specific granule membrane,GO:0043025~neuronal cell body,GO:0043197~dendritic spine,GO:0043231~intracellular membrane-bounded organelle,GO:0045211~postsynaptic membrane,GO:0046930~pore complex,GO:0070062~extracellular exosome,GO:0070821~tertiary granule membrane,GO:0097038~perinuclear endoplasmic reticulum,GO:0097060~synaptic membrane,GO:0097197~tetraspanin-enriched microdomain,GO:0098978~glutamatergic synapse,	GO:0004175~endopeptidase activity,GO:0004222~metalloendopeptidase activity,GO:0005102~receptor binding,GO:0005178~integrin binding,GO:0005515~protein binding,GO:0008237~metallopeptidase activity,GO:0017124~SH3 domain binding,GO:0019901~protein kinase binding,GO:0042803~protein homodimerization activity,GO:0046872~metal ion binding,GO:0070573~metallodipeptidase activity,GO:1902945~metalloendopeptidase activity involved in amyloid precursor protein catabolic process,
ARFIP2	ADP ribosylation factor interacting protein 2(ARFIP2)	Homo sapiens	GO:0000423~macromitophagy,GO:0006886~intracellular protein transport,GO:0006914~autophagy,GO:0007264~small GTPase mediated signal transduction,GO:0030032~lamellipodium assembly,GO:0030036~actin cytoskeleton organization,GO:0031529~ruffle organization,GO:0034315~regulation of Arp2/3 complex-mediated actin nucleation,GO:0034497~protein localization to pre-autophagosomal structure,	GO:0001726~ruffle,GO:0005737~cytoplasm,GO:0005829~cytosol,GO:0005886~plasma membrane,GO:0005938~cell cortex,GO:0032588~trans-Golgi network membrane,	GO:0005515~protein binding,GO:0005525~GTP binding,GO:0005543~phospholipid binding,GO:0019904~protein domain specific binding,GO:0030742~GTP-dependent protein binding,GO:0031267~small GTPase binding,GO:0042802~identical protein binding,GO:0045296~cadherin binding,GO:0070273~phosphatidylinositol-4-phosphate binding,
ARL4C	ADP ribosylation factor like GTPase 4C(ARL4C)	Homo sapiens	GO:0006886~intracellular protein transport,GO:0016192~vesicle-mediated transport,GO:0032456~endocytic recycling,	GO:0005634~nucleus,GO:0005737~cytoplasm,GO:0005829~cytosol,GO:0005886~plasma membrane,GO:0030175~filopodium,	GO:0003924~GTPase activity,GO:0005515~protein binding,GO:0005525~GTP binding,GO:0043014~alpha-tubulin binding,
AKT1	AKT serine/threonine kinase 1(AKT1)	Homo sapiens	GO:0001649~osteoblast differentiation,GO:0001893~maternal placenta development,GO:0001934~positive regulation of protein phosphorylation,GO:0001938~positive regulation of endothelial cell proliferation,GO:0002042~cell migration involved in sprouting angiogenesis,GO:0002931~response to ischemia,GO:0003376~sphingosine-1-phosphate signaling pathway,GO:0005978~glycogen biosynthetic process,GO:0005979~regulation of glycogen biosynthetic process,GO:0006006~glucose metabolic process,GO:0006412~translation,GO:0006417~regulation of translation,GO:0006468~protein phosphorylation,GO:0006469~negative regulation of protein kinase activity,GO:0006606~protein import into nucleus,GO:0006809~nitric oxide biosynthetic process,GO:0006924~activation-induced cell death of T cells,GO:0006954~inflammatory response,GO:0006974~cellular response to DNA damage stimulus,GO:0006979~response to oxidative stress,GO:0007165~signal transduction,GO:0007173~epidermal growth factor receptor signaling pathway,GO:0007186~G-protein coupled receptor signaling pathway,GO:0007249~I-kappaB kinase/NF-kappaB signaling,GO:0007281~germ cell development,GO:0007568~aging,GO:0008283~cell proliferation,GO:0008284~positive regulation of cell proliferation,GO:0008286~insulin receptor signaling pathway,GO:0008637~apoptotic mitochondrial changes,GO:0008643~carbohydrate transport,GO:0009408~response to heat,GO:0010467~gene expression,GO:0010507~negative regulation of autophagy,GO:0010595~positive regulation of endothelial cell migration,GO:0010628~positive regulation of gene expression,GO:0010629~negative regulation of gene expression,GO:0010748~negative regulation of plasma membrane long-chain fatty acid transport,GO:0010761~fibroblast migration,GO:0010763~positive regulation of fibroblast migration,GO:0010765~positive regulation of sodium ion transport,GO:0010907~positive regulation of glucose metabolic process,GO:0010918~positive regulation of mitochondrial membrane potential,GO:0010951~negative regulation of endopeptidase activity,GO:0010975~regulation of neuron projection development,GO:0014065~phosphatidylinositol 3-kinase signaling,GO:0016242~negative regulation of macroautophagy,GO:0016310~phosphorylation,GO:0016567~protein ubiquitination,GO:0018105~peptidyl-serine phosphorylation,GO:0018107~peptidyl-threonine phosphorylation,GO:0019221~cytokine-mediated signaling pathway,GO:0021510~spinal cord development,GO:0030030~cell projection organization,GO:0030154~cell differentiation,GO:0030163~protein catabolic process,GO:0030212~hyaluronan metabolic process,GO:0030307~positive regulation of cell growth,GO:0030334~regulation of cell migration,GO:0031295~T cell costimulation,GO:0031397~negative regulation of protein ubiquitination,GO:0031641~regulation of myelination,GO:0031663~lipopolysaccharide-mediated signaling pathway,GO:0031929~TOR signaling,GO:0031999~negative regulation of fatty acid beta-oxidation,GO:0032079~positive regulation of endodeoxyribonuclease activity,GO:0032091~negative regulation of protein binding,GO:0032094~response to food,GO:0032270~positive regulation of cellular protein metabolic process,GO:0032287~peripheral nervous system myelin maintenance,GO:0032436~positive regulation of proteasomal ubiquitin-dependent protein catabolic process,GO:0032869~cellular response to insulin stimulus,GO:0032929~negative regulation of superoxide anion generation,GO:0033138~positive regulation of peptidyl-serine phosphorylation,GO:0034405~response to fluid shear stress,GO:0034614~cellular response to reactive oxygen species,GO:0035556~intracellular signal transduction,GO:0035655~interleukin-18-mediated signaling pathway,GO:0035924~cellular response to vascular endothelial growth factor stimulus,GO:0036294~cellular response to decreased oxygen levels,GO:0038061~NIK/NF-kappaB signaling,GO:0042593~glucose homeostasis,GO:0042981~regulation of apoptotic process,GO:0043065~positive regulation of apoptotic process,GO:0043066~negative regulation of apoptotic process,GO:0043154~negative regulation of cysteine-type endopeptidase activity involved in apoptotic process,GO:0043161~proteasome-mediated ubiquitin-dependent protein catabolic process,GO:0043276~anoikis,GO:0043488~regulation of mRNA stability,GO:0043491~protein kinase B signaling,GO:0043536~positive regulation of blood vessel endothelial cell migration,GO:0045429~positive regulation of nitric oxide biosynthetic process,GO:0045600~positive regulation of fat cell differentiation,GO:0045725~positive regulation of glycogen biosynthetic process,GO:0045737~positive regulation of cyclin-dependent protein serine/threonine kinase activity,GO:0045746~negative regulation of Notch signaling pathway,GO:0045792~negative regulation of cell size,GO:0045861~negative regulation of proteolysis,GO:0045893~positive regulation of transcription, DNA-templated,GO:0045907~positive regulation of vasoconstriction,GO:0045944~positive regulation of transcription from RNA polymerase II promoter,GO:0046326~positive regulation of glucose import,GO:0046329~negative regulation of JNK cascade,GO:0046622~positive regulation of organ growth,GO:0046777~protein autophosphorylation,GO:0046889~positive regulation of lipid biosynthetic process,GO:0048009~insulin-like growth factor receptor signaling pathway,GO:0048266~behavioral response to pain,GO:0048661~positive regulation of smooth muscle cell proliferation,GO:0051000~positive regulation of nitric-oxide synthase activity,GO:0051091~positive regulation of sequence-specific DNA binding transcription factor activity,GO:0051146~striated muscle cell differentiation,GO:0051247~positive regulation of protein metabolic process,GO:0060079~excitatory postsynaptic potential,GO:0060416~response to growth hormone,GO:0060644~mammary gland epithelial cell differentiation,GO:0060709~glycogen cell differentiation involved in embryonic placenta development,GO:0060716~labyrinthine layer blood vessel development,GO:0070141~response to UV-A,GO:0070848~response to growth factor,GO:0071260~cellular response to mechanical stimulus,GO:0071276~cellular response to cadmium ion,GO:0071356~cellular response to tumor necrosis factor,GO:0071364~cellular response to epidermal growth factor stimulus,GO:0071380~cellular response to prostaglandin E stimulus,GO:0071407~cellular response to organic cyclic compound,GO:0071456~cellular response to hypoxia,GO:0071901~negative regulation of protein serine/threonine kinase activity,GO:0072655~establishment of protein localization to mitochondrion,GO:0072656~maintenance of protein location in mitochondrion,GO:0090201~negative regulation of release of cytochrome c from mitochondria,GO:0097011~cellular response to granulocyte macrophage colony-stimulating factor stimulus,GO:0097194~execution phase of apoptosis,GO:0100002~negative regulation of protein kinase activity by protein phosphorylation,GO:1900087~positive regulation of G1/S transition of mitotic cell cycle,GO:1900182~positive regulation of protein localization to nucleus,GO:1901215~negative regulation of neuron death,GO:1901796~regulation of signal transduction by p53 class mediator,GO:1902176~negative regulation of oxidative stress-induced intrinsic apoptotic signaling pathway,GO:1903038~negative regulation of leukocyte cell-cell adhesion,GO:1903078~positive regulation of protein localization to plasma membrane,GO:1903715~regulation of aerobic respiration,GO:1903721~positive regulation of I-kappaB phosphorylation,GO:1990090~cellular response to nerve growth factor stimulus,GO:1990418~response to insulin-like growth factor stimulus,GO:2000010~positive regulation of protein localization to cell surface,GO:2000074~regulation of type B pancreatic cell development,GO:2000402~negative regulation of lymphocyte migration,GO:2001240~negative regulation of extrinsic apoptotic signaling pathway in absence of ligand,GO:2001243~negative regulation of intrinsic apoptotic signaling pathway,	GO:0005634~nucleus,GO:0005654~nucleoplasm,GO:0005737~cytoplasm,GO:0005739~mitochondrion,GO:0005819~spindle,GO:0005829~cytosol,GO:0005886~plasma membrane,GO:0005911~cell-cell junction,GO:0015630~microtubule cytoskeleton,GO:0030027~lamellipodium,GO:0031234~extrinsic component of cytoplasmic side of plasma membrane,GO:0031982~vesicle,GO:0032991~macromolecular complex,GO:0036064~ciliary basal body,GO:0098794~postsynapse,	GO:0004672~protein kinase activity,GO:0004674~protein serine/threonine kinase activity,GO:0004712~protein serine/threonine/tyrosine kinase activity,GO:0005080~protein kinase C binding,GO:0005515~protein binding,GO:0005516~calmodulin binding,GO:0005524~ATP binding,GO:0005547~phosphatidylinositol-3,4,5-trisphosphate binding,GO:0016301~kinase activity,GO:0019899~enzyme binding,GO:0019901~protein kinase binding,GO:0030235~nitric-oxide synthase regulator activity,GO:0032794~GTPase activating protein binding,GO:0042802~identical protein binding,GO:0042803~protein homodimerization activity,GO:0043325~phosphatidylinositol-3,4-bisphosphate binding,GO:0051721~protein phosphatase 2A binding,GO:0071889~14-3-3 protein binding,GO:0099104~potassium channel activator activity,
ARID4B	AT-rich interaction domain 4B(ARID4B)	Homo sapiens	GO:0000122~negative regulation of transcription from RNA polymerase II promoter,GO:0006325~chromatin organization,GO:0006349~regulation of gene expression by genetic imprinting,GO:0006355~regulation of transcription, DNA-templated,GO:0006357~regulation of transcription from RNA polymerase II promoter,GO:0006366~transcription from RNA polymerase II promoter,GO:0007283~spermatogenesis,GO:0030336~negative regulation of cell migration,GO:0030512~negative regulation of transforming growth factor beta receptor signaling pathway,GO:0034773~histone H4-K20 trimethylation,GO:0036124~histone H3-K9 trimethylation,GO:0045944~positive regulation of transcription from RNA polymerase II promoter,GO:0097368~establishment of Sertoli cell barrier,GO:1902455~negative regulation of stem cell population maintenance,GO:1902459~positive regulation of stem cell population maintenance,	GO:0005634~nucleus,GO:0005654~nucleoplasm,GO:0005739~mitochondrion,GO:0005829~cytosol,GO:0016580~Sin3 complex,	GO:0000976~transcription regulatory region sequence-specific DNA binding,GO:0003677~DNA binding,GO:0005515~protein binding,
ARID5B	AT-rich interaction domain 5B(ARID5B)	Homo sapiens	GO:0000122~negative regulation of transcription from RNA polymerase II promoter,GO:0001822~kidney development,GO:0001889~liver development,GO:0006357~regulation of transcription from RNA polymerase II promoter,GO:0006807~nitrogen compound metabolic process,GO:0008584~male gonad development,GO:0008585~female gonad development,GO:0009791~post-embryonic development,GO:0010761~fibroblast migration,GO:0030325~adrenal gland development,GO:0035264~multicellular organism growth,GO:0045444~fat cell differentiation,GO:0045892~negative regulation of transcription, DNA-templated,GO:0045893~positive regulation of transcription, DNA-templated,GO:0048008~platelet-derived growth factor receptor signaling pathway,GO:0048468~cell development,GO:0048644~muscle organ morphogenesis,GO:0048705~skeletal system morphogenesis,GO:0051091~positive regulation of sequence-specific DNA binding transcription factor activity,GO:0060021~palate development,GO:0060325~face morphogenesis,GO:0060612~adipose tissue development,GO:0060613~fat pad development,GO:1990830~cellular response to leukemia inhibitory factor,	GO:0005634~nucleus,GO:0005654~nucleoplasm,	GO:0000976~transcription regulatory region sequence-specific DNA binding,GO:0003677~DNA binding,GO:0003713~transcription coactivator activity,GO:0005515~protein binding,
ATMIN	ATM interactor(ATMIN)	Homo sapiens	GO:0006357~regulation of transcription from RNA polymerase II promoter,GO:0006974~cellular response to DNA damage stimulus,GO:0010628~positive regulation of gene expression,GO:0044458~motile cilium assembly,GO:0045893~positive regulation of transcription, DNA-templated,GO:0045944~positive regulation of transcription from RNA polymerase II promoter,GO:1902857~positive regulation of non-motile cilium assembly,	GO:0005634~nucleus,GO:0016604~nuclear body,	GO:0000976~transcription regulatory region sequence-specific DNA binding,GO:0000981~RNA polymerase II transcription factor activity, sequence-specific DNA binding,GO:0001228~transcriptional activator activity, RNA polymerase II transcription regulatory region sequence-specific binding,GO:0005515~protein binding,GO:0046872~metal ion binding,GO:0070840~dynein complex binding,
ABCB6	ATP binding cassette subfamily B member 6 (Langereis blood group)(ABCB6)	Homo sapiens	GO:0006778~porphyrin-containing compound metabolic process,GO:0006779~porphyrin-containing compound biosynthetic process,GO:0006878~cellular copper ion homeostasis,GO:0006879~cellular iron ion homeostasis,GO:0007420~brain development,GO:0015886~heme transport,GO:0033013~tetrapyrrole metabolic process,GO:0035351~heme transmembrane transport,GO:0042168~heme metabolic process,GO:0043588~skin development,GO:0055085~transmembrane transport,GO:0098849~cellular detoxification of cadmium ion,GO:1903232~melanosome assembly,	GO:0000139~Golgi membrane,GO:0005654~nucleoplasm,GO:0005739~mitochondrion,GO:0005740~mitochondrial envelope,GO:0005741~mitochondrial outer membrane,GO:0005765~lysosomal membrane,GO:0005768~endosome,GO:0005774~vacuolar membrane,GO:0005783~endoplasmic reticulum,GO:0005789~endoplasmic reticulum membrane,GO:0005794~Golgi apparatus,GO:0005829~cytosol,GO:0005886~plasma membrane,GO:0016021~integral component of membrane,GO:0031307~integral component of mitochondrial outer membrane,GO:0031901~early endosome membrane,GO:0032585~multivesicular body membrane,GO:0033162~melanosome membrane,GO:0036020~endolysosome membrane,GO:0043190~ATP-binding cassette (ABC) transporter complex,GO:0070062~extracellular exosome,	GO:0005524~ATP binding,GO:0015439~heme-transporting ATPase activity,GO:0015562~efflux transmembrane transporter activity,GO:0016887~ATPase activity,GO:0020037~heme binding,GO:0042626~ATPase activity, coupled to transmembrane movement of substances,GO:0046906~tetrapyrrole binding,
ABCC5	ATP binding cassette subfamily C member 5(ABCC5)	Homo sapiens	GO:0006805~xenobiotic metabolic process,GO:0006855~drug transmembrane transport,GO:0015698~inorganic anion transport,GO:0015865~purine nucleotide transport,GO:0030213~hyaluronan biosynthetic process,GO:0034775~glutathione transmembrane transport,GO:0035351~heme transmembrane transport,GO:0042908~xenobiotic transport,GO:0055085~transmembrane transport,GO:0070730~cAMP transport,GO:0070731~cGMP transport,GO:0098838~reduced folate transmembrane transport,	GO:0005796~Golgi lumen,GO:0005886~plasma membrane,GO:0005887~integral component of plasma membrane,GO:0010008~endosome membrane,GO:0016020~membrane,GO:0016021~integral component of membrane,GO:0016323~basolateral plasma membrane,GO:0016324~apical plasma membrane,	GO:0005524~ATP binding,GO:0008514~organic anion transmembrane transporter activity,GO:0008559~xenobiotic-transporting ATPase activity,GO:0015216~purine nucleotide transmembrane transporter activity,GO:0015232~heme transporter activity,GO:0015562~efflux transmembrane transporter activity,GO:0034634~glutathione transmembrane transporter activity,GO:0042626~ATPase activity, coupled to transmembrane movement of substances,GO:0042910~xenobiotic transporter activity,GO:0043225~ATPase-coupled anion transmembrane transporter activity,
ABCF1	ATP binding cassette subfamily F member 1(ABCF1)	Homo sapiens	GO:0006412~translation,GO:0006413~translational initiation,GO:0006954~inflammatory response,GO:0045727~positive regulation of translation,	GO:0005635~nuclear envelope,GO:0005654~nucleoplasm,GO:0005737~cytoplasm,GO:0005829~cytosol,GO:0005840~ribosome,GO:0016020~membrane,GO:0042788~polysomal ribosome,	GO:0003723~RNA binding,GO:0005515~protein binding,GO:0005524~ATP binding,GO:0008135~translation factor activity, RNA binding,GO:0008494~translation activator activity,GO:0042626~ATPase activity, coupled to transmembrane movement of substances,GO:0043022~ribosome binding,
ABCF3	ATP binding cassette subfamily F member 3(ABCF3)	Homo sapiens	GO:0051607~defense response to virus,	GO:0016020~membrane,	GO:0005515~protein binding,GO:0005524~ATP binding,GO:0042626~ATPase activity, coupled to transmembrane movement of substances,GO:0045296~cadherin binding,
ACLY	ATP citrate lyase(ACLY)	Homo sapiens	GO:0006085~acetyl-CoA biosynthetic process,GO:0006101~citrate metabolic process,GO:0006107~oxaloacetate metabolic process,GO:0006629~lipid metabolic process,GO:0006633~fatty acid biosynthetic process,GO:0006695~cholesterol biosynthetic process,GO:0008610~lipid biosynthetic process,GO:0015936~coenzyme A metabolic process,	GO:0005576~extracellular region,GO:0005654~nucleoplasm,GO:0005737~cytoplasm,GO:0005829~cytosol,GO:0005886~plasma membrane,GO:0016020~membrane,GO:0035578~azurophil granule lumen,GO:0070062~extracellular exosome,GO:1904813~ficolin-1-rich granule lumen,	GO:0003878~ATP citrate synthase activity,GO:0005515~protein binding,GO:0005524~ATP binding,GO:0016829~lyase activity,GO:0046872~metal ion binding,
